filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,melspectrogram
Symphony_trim.mp3,0.2560938,0.072207764,2054.709745,1926.082931,3890.709807,0.104585157,0.45704627
アイボリー_trim.mp3,0.416345239,0.180780143,2607.25488,2425.271658,5402.253969,0.123834425,2.197181463
ド屑_trim.mp3,0.3089917,0.141247779,2077.583553,2334.861492,4495.729065,0.08465271,1.549163699
アンノウンマザーグース_trim.mp3,0.314914763,0.288899153,1878.105396,2525.089998,4387.690135,0.060388524,5.269287586
残酷な天使のテーゼ_trim.mp3,0.397990257,0.229780763,2575.416493,2450.529368,5246.909939,0.133348778,2.993088245
地球最後の告白を_trim.mp3,0.349329829,0.257494867,3107.589621,2647.800773,6275.270388,0.165961959,3.51064086
ELECT_trim.mp3,0.373962849,0.33842662,2814.363671,2720.914317,6172.79985,0.128924074,5.88575983
百代峠_trim.mp3,0.344997019,0.254553765,2235.786703,2416.602818,4831.812449,0.090459015,3.865511417
アイネクライネ_trim.mp3,0.397070318,0.390690804,2043.456276,2154.138282,4109.891815,0.096109774,8.399634361
PLASTIC_ISLE_trim.mp3,0.423617899,0.276374698,2488.419225,2550.860212,5301.776274,0.098376578,4.139155865
Cradles_trim.mp3,0.449641943,0.341725618,2444.577914,2339.026412,5015.673434,0.112212254,8.264626503
転生林檎_trim.mp3,0.370334595,0.257563591,3154.510346,2828.856453,6625.87445,0.13891643,3.799041986
深海20love_trim.mp3,0.477081537,0.160494253,2096.888549,2220.846649,4346.407051,0.098850876,1.428235054
時の侭に_trim.mp3,0.263720572,0.104940765,1046.484163,1283.296084,1911.413442,0.061270605,0.72954911
パンドラボックス_trim.mp3,0.387393296,0.292279482,2297.938019,2245.507547,4687.371323,0.105750498,4.848239899
ドラマ_trim.mp3,0.259044111,0.309968412,2381.791099,2373.673855,4690.479971,0.115709807,5.287106991
ハチ__MV「パンダヒーロー」HACHI_⧸_Panda_Hero_[0RU_05zpETo]_0,0.4431685209274292,0.23659759759902954,2276.728804189141,2255.331318946484,4785.926907867707,0.1292934245326623,3.5004642009735107
ハチ__MV「パンダヒーロー」HACHI_⧸_Panda_Hero_[0RU_05zpETo]_1,0.41742148995399475,0.29082268476486206,2504.6114288714684,2550.1341768208495,5357.193762999435,0.11543458234901396,4.465003490447998
ハチ__MV「パンダヒーロー」HACHI_⧸_Panda_Hero_[0RU_05zpETo]_2,0.41195544600486755,0.30800214409828186,2539.4909985316385,2555.1748045636114,5359.8389674917835,0.1182928531994659,4.953771591186523
ハチ__MV「パンダヒーロー」HACHI_⧸_Panda_Hero_[0RU_05zpETo]_3,0.40748775005340576,0.2598773241043091,2272.2692361189015,2124.432298833638,4399.691664633833,0.12306452855382087,3.617704153060913
ハチ__MV「パンダヒーロー」HACHI_⧸_Panda_Hero_[0RU_05zpETo]_4,0.3990457355976105,0.297440767288208,2381.252144242479,2349.545618041333,4869.3083538221545,0.11735761606409204,4.702803134918213
ハチ__MV「パンダヒーロー」HACHI_⧸_Panda_Hero_[0RU_05zpETo]_5,0.42570793628692627,0.3017445206642151,2431.97248571746,2414.8755058902943,5106.5186148700695,0.10742668960558752,4.8341474533081055
ハチ__MV「パンダヒーロー」HACHI_⧸_Panda_Hero_[0RU_05zpETo]_6,0.40644529461860657,0.3107106387615204,2433.8761874242136,2449.3394430621534,5047.059018237726,0.11751689926561217,5.009415149688721
ハチ__MV「パンダヒーロー」HACHI_⧸_Panda_Hero_[0RU_05zpETo]_7,0.4990822970867157,0.19335465133190155,2767.734809354255,2186.39853185833,5253.977706771261,0.24268220072411667,2.61783504486084
