filename,0lig,1cla,2uph,4sad,6qui
schwarzweiβ_～霧の向こうに繋がる世界～__霜月はるか+Revo_Sound_Horizon_[I-O1KH4iRrw]_7,36.0,16.0,8.0,7.0,6.0
ロウワー_⧸_Flower_-_Lower_one's_eyes_[3sEptl-psU0]_0,50.0,50.0,16.0,19.0,40.0
ロウワー_⧸_Flower_-_Lower_one's_eyes_[3sEptl-psU0]_1,51.0,30.0,14.0,13.0,24.0
ロウワー_⧸_Flower_-_Lower_one's_eyes_[3sEptl-psU0]_2,47.0,33.0,13.0,13.0,24.0
ロウワー_⧸_Flower_-_Lower_one's_eyes_[3sEptl-psU0]_3,39.0,28.0,11.0,12.0,23.0
ロウワー_⧸_Flower_-_Lower_one's_eyes_[3sEptl-psU0]_4,47.0,30.0,13.0,13.0,21.0
ロウワー_⧸_Flower_-_Lower_one's_eyes_[3sEptl-psU0]_5,47.0,27.0,12.0,12.0,20.0
ロウワー_⧸_Flower_-_Lower_one's_eyes_[3sEptl-psU0]_6,29.0,34.0,9.0,12.0,29.0
ロウワー_⧸_Flower_-_Lower_one's_eyes_[3sEptl-psU0]_7,41.0,18.0,8.0,9.0,12.0
Eng_sub_となりのトトロ「さんぽ」歌詞つき__My_Neighbor_Totoro_＂_Stroll＂__covered_by_Miho_Kuroda_with_English_lyrics_[k_a8vsgeg_k]_0,44.0,30.0,11.0,13.0,20.0
Eng_sub_となりのトトロ「さんぽ」歌詞つき__My_Neighbor_Totoro_＂_Stroll＂__covered_by_Miho_Kuroda_with_English_lyrics_[k_a8vsgeg_k]_1,11.0,55.0,5.0,23.0,66.0
Eng_sub_となりのトトロ「さんぽ」歌詞つき__My_Neighbor_Totoro_＂_Stroll＂__covered_by_Miho_Kuroda_with_English_lyrics_[k_a8vsgeg_k]_2,14.0,51.0,5.0,17.0,57.0
Eng_sub_となりのトトロ「さんぽ」歌詞つき__My_Neighbor_Totoro_＂_Stroll＂__covered_by_Miho_Kuroda_with_English_lyrics_[k_a8vsgeg_k]_3,9.0,50.0,5.0,28.0,68.0
Eng_sub_となりのトトロ「さんぽ」歌詞つき__My_Neighbor_Totoro_＂_Stroll＂__covered_by_Miho_Kuroda_with_English_lyrics_[k_a8vsgeg_k]_4,13.0,53.0,5.0,19.0,60.0
Eng_sub_となりのトトロ「さんぽ」歌詞つき__My_Neighbor_Totoro_＂_Stroll＂__covered_by_Miho_Kuroda_with_English_lyrics_[k_a8vsgeg_k]_5,9.0,39.0,5.0,21.0,53.0
Eng_sub_となりのトトロ「さんぽ」歌詞つき__My_Neighbor_Totoro_＂_Stroll＂__covered_by_Miho_Kuroda_with_English_lyrics_[k_a8vsgeg_k]_6,9.0,49.0,5.0,26.0,65.0
Eng_sub_となりのトトロ「さんぽ」歌詞つき__My_Neighbor_Totoro_＂_Stroll＂__covered_by_Miho_Kuroda_with_English_lyrics_[k_a8vsgeg_k]_7,33.0,52.0,10.0,15.0,47.0
『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_0,13.0,32.0,5.0,24.0,48.0
『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_1,46.0,14.0,13.0,10.0,6.0
『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_2,51.0,14.0,13.0,11.0,7.0
『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_3,43.0,23.0,13.0,11.0,11.0
『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_4,39.0,21.0,12.0,10.0,8.0
『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_5,45.0,26.0,14.0,12.0,10.0
『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_6,42.0,19.0,12.0,10.0,7.0
『にっこり^^調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_7,21.0,30.0,5.0,13.0,21.0
【プロセカ】にっこり^^調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_0,30.0,23.0,8.0,10.0,19.0
【プロセカ】にっこり^^調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_1,45.0,21.0,11.0,10.0,14.0
【プロセカ】にっこり^^調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_2,39.0,37.0,11.0,13.0,29.0
【プロセカ】にっこり^^調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_3,46.0,23.0,12.0,11.0,16.0
【プロセカ】にっこり^^調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_4,39.0,16.0,8.0,7.0,10.0
【プロセカ】にっこり^^調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_5,39.0,31.0,11.0,11.0,23.0
【プロセカ】にっこり^^調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_6,44.0,29.0,12.0,12.0,19.0
【プロセカ】にっこり^^調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_7,25.0,27.0,7.0,11.0,22.0
Ahoy!!_我ら宝鐘海賊団☆_[gZL4-f3jRoE]_0,42.0,27.0,12.0,11.0,14.0
Ahoy!!_我ら宝鐘海賊団☆_[gZL4-f3jRoE]_1,34.0,28.0,9.0,9.0,19.0
Ahoy!!_我ら宝鐘海賊団☆_[gZL4-f3jRoE]_2,44.0,20.0,13.0,11.0,7.0
Ahoy!!_我ら宝鐘海賊団☆_[gZL4-f3jRoE]_3,32.0,26.0,8.0,9.0,17.0
Ahoy!!_我ら宝鐘海賊団☆_[gZL4-f3jRoE]_4,47.0,23.0,14.0,12.0,9.0
Ahoy!!_我ら宝鐘海賊団☆_[gZL4-f3jRoE]_5,49.0,23.0,15.0,13.0,9.0
Ahoy!!_我ら宝鐘海賊団☆_[gZL4-f3jRoE]_6,32.0,37.0,8.0,11.0,28.0
Ahoy!!_我ら宝鐘海賊団☆_[gZL4-f3jRoE]_7,49.0,27.0,15.0,13.0,11.0
長渕剛／ひとつ__（2012年）_[sEhufCVKcno]_0,14.0,45.0,7.0,44.0,82.0
長渕剛／ひとつ__（2012年）_[sEhufCVKcno]_1,10.0,38.0,5.0,30.0,62.0
長渕剛／ひとつ__（2012年）_[sEhufCVKcno]_2,23.0,40.0,5.0,23.0,46.0
長渕剛／ひとつ__（2012年）_[sEhufCVKcno]_3,38.0,29.0,6.0,34.0,46.0
長渕剛／ひとつ__（2012年）_[sEhufCVKcno]_4,16.0,39.0,5.0,30.0,59.0
長渕剛／ひとつ__（2012年）_[sEhufCVKcno]_5,21.0,24.0,4.0,18.0,28.0
長渕剛／ひとつ__（2012年）_[sEhufCVKcno]_6,22.0,27.0,5.0,24.0,37.0
長渕剛／ひとつ__（2012年）_[sEhufCVKcno]_7,38.0,23.0,6.0,28.0,33.0
【Ado】ウタカタララバイ（ウタ_from_ONE_PIECE_FILM_RED）_[hyV1AJiFNyo]_0,20.0,43.0,7.0,14.0,45.0
【Ado】ウタカタララバイ（ウタ_from_ONE_PIECE_FILM_RED）_[hyV1AJiFNyo]_1,34.0,26.0,9.0,10.0,21.0
【Ado】ウタカタララバイ（ウタ_from_ONE_PIECE_FILM_RED）_[hyV1AJiFNyo]_2,32.0,24.0,8.0,9.0,19.0
【Ado】ウタカタララバイ（ウタ_from_ONE_PIECE_FILM_RED）_[hyV1AJiFNyo]_3,39.0,24.0,10.0,10.0,19.0
【Ado】ウタカタララバイ（ウタ_from_ONE_PIECE_FILM_RED）_[hyV1AJiFNyo]_4,30.0,24.0,8.0,9.0,19.0
【Ado】ウタカタララバイ（ウタ_from_ONE_PIECE_FILM_RED）_[hyV1AJiFNyo]_5,31.0,31.0,9.0,11.0,26.0
【Ado】ウタカタララバイ（ウタ_from_ONE_PIECE_FILM_RED）_[hyV1AJiFNyo]_6,37.0,28.0,10.0,11.0,21.0
【Ado】ウタカタララバイ（ウタ_from_ONE_PIECE_FILM_RED）_[hyV1AJiFNyo]_7,21.0,96.0,11.0,86.0,164.0
ポケモンDP_OP2_ハイタッチ_[w-PET2mgm7Q]_0,30.0,24.0,8.0,11.0,22.0
ポケモンDP_OP2_ハイタッチ_[w-PET2mgm7Q]_1,31.0,31.0,9.0,11.0,26.0
ポケモンDP_OP2_ハイタッチ_[w-PET2mgm7Q]_2,18.0,25.0,5.0,13.0,30.0
ポケモンDP_OP2_ハイタッチ_[w-PET2mgm7Q]_3,37.0,33.0,11.0,13.0,26.0
ポケモンDP_OP2_ハイタッチ_[w-PET2mgm7Q]_4,38.0,37.0,11.0,14.0,27.0
ポケモンDP_OP2_ハイタッチ_[w-PET2mgm7Q]_5,37.0,48.0,12.0,15.0,42.0
ポケモンDP_OP2_ハイタッチ_[w-PET2mgm7Q]_6,45.0,41.0,14.0,16.0,31.0
ポケモンDP_OP2_ハイタッチ_[w-PET2mgm7Q]_7,48.0,45.0,15.0,17.0,36.0
ヤバイTシャツ屋さん_-_「ハッピーウェディング前ソング」Music_Video_[lVIHyj9qVy0]_0,42.0,19.0,11.0,10.0,6.0
ヤバイTシャツ屋さん_-_「ハッピーウェディング前ソング」Music_Video_[lVIHyj9qVy0]_1,44.0,26.0,14.0,13.0,7.0
ヤバイTシャツ屋さん_-_「ハッピーウェディング前ソング」Music_Video_[lVIHyj9qVy0]_2,37.0,16.0,10.0,9.0,4.0
ヤバイTシャツ屋さん_-_「ハッピーウェディング前ソング」Music_Video_[lVIHyj9qVy0]_3,38.0,21.0,11.0,10.0,6.0
ヤバイTシャツ屋さん_-_「ハッピーウェディング前ソング」Music_Video_[lVIHyj9qVy0]_4,39.0,22.0,11.0,11.0,5.0
ヤバイTシャツ屋さん_-_「ハッピーウェディング前ソング」Music_Video_[lVIHyj9qVy0]_5,35.0,21.0,10.0,10.0,5.0
ヤバイTシャツ屋さん_-_「ハッピーウェディング前ソング」Music_Video_[lVIHyj9qVy0]_6,34.0,24.0,9.0,11.0,6.0
ヤバイTシャツ屋さん_-_「ハッピーウェディング前ソング」Music_Video_[lVIHyj9qVy0]_7,50.0,29.0,8.0,17.0,19.0
エレクトリカルパレード完全版（音楽）_[tymitESpRYY]_0,35.0,38.0,7.0,38.0,51.0
エレクトリカルパレード完全版（音楽）_[tymitESpRYY]_1,45.0,69.0,14.0,19.0,60.0
エレクトリカルパレード完全版（音楽）_[tymitESpRYY]_2,22.0,51.0,6.0,12.0,47.0
エレクトリカルパレード完全版（音楽）_[tymitESpRYY]_3,84.0,79.0,29.0,31.0,58.0
エレクトリカルパレード完全版（音楽）_[tymitESpRYY]_4,18.0,33.0,5.0,11.0,33.0
エレクトリカルパレード完全版（音楽）_[tymitESpRYY]_5,35.0,45.0,9.0,11.0,35.0
エレクトリカルパレード完全版（音楽）_[tymitESpRYY]_6,33.0,17.0,5.0,12.0,17.0
エレクトリカルパレード完全版（音楽）_[tymitESpRYY]_7,32.0,43.0,10.0,15.0,38.0
【Ado】私は最強_(ウタ_from_ONE_PIECE_FILM_RED)_[sk1Z-Hqwwog]_0,19.0,50.0,6.0,17.0,55.0
【Ado】私は最強_(ウタ_from_ONE_PIECE_FILM_RED)_[sk1Z-Hqwwog]_1,26.0,36.0,8.0,11.0,32.0
【Ado】私は最強_(ウタ_from_ONE_PIECE_FILM_RED)_[sk1Z-Hqwwog]_2,37.0,28.0,10.0,11.0,22.0
【Ado】私は最強_(ウタ_from_ONE_PIECE_FILM_RED)_[sk1Z-Hqwwog]_3,21.0,50.0,7.0,14.0,49.0
【Ado】私は最強_(ウタ_from_ONE_PIECE_FILM_RED)_[sk1Z-Hqwwog]_4,28.0,43.0,8.0,11.0,37.0
【Ado】私は最強_(ウタ_from_ONE_PIECE_FILM_RED)_[sk1Z-Hqwwog]_5,36.0,33.0,10.0,12.0,28.0
【Ado】私は最強_(ウタ_from_ONE_PIECE_FILM_RED)_[sk1Z-Hqwwog]_6,31.0,48.0,9.0,13.0,41.0
【Ado】私は最強_(ウタ_from_ONE_PIECE_FILM_RED)_[sk1Z-Hqwwog]_7,21.0,40.0,6.0,22.0,42.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_0,26.0,11.0,5.0,9.0,10.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_1,42.0,11.0,12.0,13.0,9.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_2,37.0,21.0,12.0,10.0,10.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_3,40.0,19.0,9.0,18.0,21.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_4,38.0,15.0,13.0,12.0,8.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_5,53.0,16.0,17.0,14.0,7.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_6,39.0,14.0,13.0,14.0,10.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_7,16.0,55.0,7.0,45.0,87.0
バグ／莉犬【歌ってみた】_[mF7UopBuRTs]_0,60.0,19.0,14.0,12.0,10.0
バグ／莉犬【歌ってみた】_[mF7UopBuRTs]_1,41.0,16.0,10.0,8.0,9.0
バグ／莉犬【歌ってみた】_[mF7UopBuRTs]_2,37.0,17.0,10.0,9.0,7.0
バグ／莉犬【歌ってみた】_[mF7UopBuRTs]_3,56.0,17.0,14.0,11.0,9.0
バグ／莉犬【歌ってみた】_[mF7UopBuRTs]_4,35.0,17.0,9.0,7.0,10.0
バグ／莉犬【歌ってみた】_[mF7UopBuRTs]_5,34.0,24.0,9.0,9.0,15.0
バグ／莉犬【歌ってみた】_[mF7UopBuRTs]_6,37.0,19.0,10.0,9.0,8.0
バグ／莉犬【歌ってみた】_[mF7UopBuRTs]_7,64.0,38.0,19.0,18.0,19.0
wowaka_『アンノウン・マザーグース』feat._初音ミク_⧸_wowaka_-_Unknown_Mother-Goose_(Official_Video)_ft._Hatsune_Miku_[P_CSdxSGfaA]_0,39.0,17.0,13.0,11.0,7.0
wowaka_『アンノウン・マザーグース』feat._初音ミク_⧸_wowaka_-_Unknown_Mother-Goose_(Official_Video)_ft._Hatsune_Miku_[P_CSdxSGfaA]_1,52.0,23.0,13.0,14.0,18.0
wowaka_『アンノウン・マザーグース』feat._初音ミク_⧸_wowaka_-_Unknown_Mother-Goose_(Official_Video)_ft._Hatsune_Miku_[P_CSdxSGfaA]_2,31.0,46.0,7.0,25.0,52.0
wowaka_『アンノウン・マザーグース』feat._初音ミク_⧸_wowaka_-_Unknown_Mother-Goose_(Official_Video)_ft._Hatsune_Miku_[P_CSdxSGfaA]_3,40.0,45.0,12.0,12.0,32.0
wowaka_『アンノウン・マザーグース』feat._初音ミク_⧸_wowaka_-_Unknown_Mother-Goose_(Official_Video)_ft._Hatsune_Miku_[P_CSdxSGfaA]_4,63.0,16.0,15.0,18.0,16.0
wowaka_『アンノウン・マザーグース』feat._初音ミク_⧸_wowaka_-_Unknown_Mother-Goose_(Official_Video)_ft._Hatsune_Miku_[P_CSdxSGfaA]_5,32.0,38.0,6.0,17.0,36.0
wowaka_『アンノウン・マザーグース』feat._初音ミク_⧸_wowaka_-_Unknown_Mother-Goose_(Official_Video)_ft._Hatsune_Miku_[P_CSdxSGfaA]_6,52.0,61.0,16.0,23.0,50.0
wowaka_『アンノウン・マザーグース』feat._初音ミク_⧸_wowaka_-_Unknown_Mother-Goose_(Official_Video)_ft._Hatsune_Miku_[P_CSdxSGfaA]_7,21.0,28.0,5.0,27.0,43.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_0,26.0,11.0,5.0,9.0,10.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_1,42.0,11.0,12.0,13.0,9.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_2,37.0,21.0,12.0,10.0,10.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_3,40.0,19.0,9.0,18.0,21.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_4,38.0,15.0,13.0,12.0,8.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_5,53.0,16.0,17.0,14.0,7.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_6,39.0,14.0,13.0,14.0,10.0
DUSTCELL_-_蜜蜂_[CURwRQpY0tc]_7,16.0,55.0,7.0,45.0,87.0
アイソトープ_⧸_可不_[l7eJQdjyDYI]_0,74.0,19.0,12.0,12.0,12.0
アイソトープ_⧸_可不_[l7eJQdjyDYI]_1,35.0,35.0,9.0,10.0,23.0
アイソトープ_⧸_可不_[l7eJQdjyDYI]_2,48.0,21.0,8.0,8.0,13.0
アイソトープ_⧸_可不_[l7eJQdjyDYI]_3,61.0,29.0,17.0,15.0,18.0
アイソトープ_⧸_可不_[l7eJQdjyDYI]_4,60.0,18.0,13.0,11.0,11.0
アイソトープ_⧸_可不_[l7eJQdjyDYI]_5,50.0,22.0,15.0,12.0,10.0
アイソトープ_⧸_可不_[l7eJQdjyDYI]_6,33.0,40.0,8.0,13.0,28.0
アイソトープ_⧸_可不_[l7eJQdjyDYI]_7,32.0,48.0,8.0,17.0,32.0
ClariS_『ALIVE』Music_Video_【ＴVアニメ「リコリス・リコイル」オープニングテーマ】_[Vi-1402wYtI]_0,29.0,72.0,9.0,21.0,74.0
ClariS_『ALIVE』Music_Video_【ＴVアニメ「リコリス・リコイル」オープニングテーマ】_[Vi-1402wYtI]_1,57.0,17.0,11.0,9.0,9.0
ClariS_『ALIVE』Music_Video_【ＴVアニメ「リコリス・リコイル」オープニングテーマ】_[Vi-1402wYtI]_2,25.0,24.0,4.0,8.0,20.0
ClariS_『ALIVE』Music_Video_【ＴVアニメ「リコリス・リコイル」オープニングテーマ】_[Vi-1402wYtI]_3,33.0,25.0,9.0,9.0,14.0
ClariS_『ALIVE』Music_Video_【ＴVアニメ「リコリス・リコイル」オープニングテーマ】_[Vi-1402wYtI]_4,42.0,30.0,13.0,12.0,14.0
ClariS_『ALIVE』Music_Video_【ＴVアニメ「リコリス・リコイル」オープニングテーマ】_[Vi-1402wYtI]_5,39.0,25.0,11.0,10.0,12.0
ClariS_『ALIVE』Music_Video_【ＴVアニメ「リコリス・リコイル」オープニングテーマ】_[Vi-1402wYtI]_6,33.0,25.0,9.0,9.0,12.0
ClariS_『ALIVE』Music_Video_【ＴVアニメ「リコリス・リコイル」オープニングテーマ】_[Vi-1402wYtI]_7,34.0,9.0,8.0,6.0,4.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_0,15.0,72.0,8.0,58.0,118.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_1,16.0,28.0,5.0,15.0,34.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_2,9.0,50.0,6.0,38.0,81.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_3,17.0,26.0,5.0,22.0,40.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_4,26.0,23.0,5.0,20.0,31.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_5,29.0,26.0,6.0,24.0,37.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_6,11.0,35.0,4.0,20.0,47.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_7,16.0,43.0,6.0,40.0,74.0
karashina_[ANGOEf91Nlg]_0,26.0,21.0,4.0,13.0,13.0
karashina_[ANGOEf91Nlg]_1,29.0,9.0,4.0,7.0,6.0
karashina_[ANGOEf91Nlg]_2,29.0,34.0,5.0,12.0,29.0
karashina_[ANGOEf91Nlg]_3,28.0,37.0,7.0,14.0,20.0
karashina_[ANGOEf91Nlg]_4,45.0,21.0,12.0,11.0,7.0
karashina_[ANGOEf91Nlg]_5,98.0,40.0,18.0,21.0,29.0
karashina_[ANGOEf91Nlg]_6,65.0,38.0,19.0,17.0,25.0
karashina_[ANGOEf91Nlg]_7,70.0,57.0,23.0,23.0,37.0
【プロセカ】にっこり調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_0,30.0,23.0,8.0,10.0,19.0
【プロセカ】にっこり調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_1,45.0,21.0,11.0,10.0,14.0
【プロセカ】にっこり調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_2,39.0,37.0,11.0,13.0,29.0
【プロセカ】にっこり調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_3,46.0,23.0,12.0,11.0,16.0
【プロセカ】にっこり調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_4,39.0,16.0,8.0,7.0,10.0
【プロセカ】にっこり調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_5,39.0,31.0,11.0,11.0,23.0
【プロセカ】にっこり調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_6,44.0,29.0,12.0,12.0,19.0
【プロセカ】にっこり調査隊のテーマ・ロングVer.⧸_ワンダーランズ×ショウタイム、ミク、リン、レン_[bdPfJvwsyqg]_7,25.0,27.0,7.0,11.0,22.0
『にっこり調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_0,13.0,32.0,5.0,24.0,48.0
『にっこり調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_1,46.0,14.0,13.0,10.0,6.0
『にっこり調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_2,51.0,14.0,13.0,11.0,7.0
『にっこり調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_3,43.0,23.0,13.0,11.0,11.0
『にっこり調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_4,39.0,21.0,12.0,10.0,8.0
『にっこり調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_5,45.0,26.0,14.0,12.0,10.0
『にっこり調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_6,42.0,19.0,12.0,10.0,7.0
『にっこり調査隊のテーマ』3DMVゲームサイズ公開！_[v7SYWS2jarw]_7,21.0,30.0,5.0,13.0,21.0
【オリジナル】2㎡の城【鏡音リン】_[sqpj1RELAqA]_0,12.0,30.0,5.0,25.0,48.0
【オリジナル】2㎡の城【鏡音リン】_[sqpj1RELAqA]_1,9.0,53.0,6.0,26.0,69.0
【オリジナル】2㎡の城【鏡音リン】_[sqpj1RELAqA]_2,11.0,45.0,5.0,21.0,56.0
【オリジナル】2㎡の城【鏡音リン】_[sqpj1RELAqA]_3,32.0,36.0,6.0,19.0,40.0
【オリジナル】2㎡の城【鏡音リン】_[sqpj1RELAqA]_4,26.0,42.0,6.0,18.0,45.0
【オリジナル】2㎡の城【鏡音リン】_[sqpj1RELAqA]_5,30.0,29.0,8.0,11.0,19.0
【オリジナル】2㎡の城【鏡音リン】_[sqpj1RELAqA]_6,26.0,63.0,7.0,17.0,60.0
【オリジナル】2㎡の城【鏡音リン】_[sqpj1RELAqA]_7,13.0,41.0,5.0,18.0,49.0
