filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,melspectrogram
Symphony_trim.mp3,0.2560938,0.072207764,2054.709745,1926.082931,3890.709807,0.104585157,0.45704627
アイボリー_trim.mp3,0.416345239,0.180780143,2607.25488,2425.271658,5402.253969,0.123834425,2.197181463
ド屑_trim.mp3,0.3089917,0.141247779,2077.583553,2334.861492,4495.729065,0.08465271,1.549163699
アンノウン_trim.mp3,0.314914763,0.288899153,1878.105396,2525.089998,4387.690135,0.060388524,5.269287586
残酷な_trim.mp3,0.397990257,0.229780763,2575.416493,2450.529368,5246.909939,0.133348778,2.993088245
地球最後_trim.mp3,0.349329829,0.257494867,3107.589621,2647.800773,6275.270388,0.165961959,3.51064086
ELECT_trim.mp3,0.373962849,0.33842662,2814.363671,2720.914317,6172.79985,0.128924074,5.88575983
百_trim.mp3,0.344997019,0.254553765,2235.786703,2416.602818,4831.812449,0.090459015,3.865511417
アイネクライネ_trim.mp3,0.397070318,0.390690804,2043.456276,2154.138282,4109.891815,0.096109774,8.399634361
PLASTIC_ISLE_trim.mp3,0.423617899,0.276374698,2488.419225,2550.860212,5301.776274,0.098376578,4.139155865
Cradles_trim.mp3,0.449641943,0.341725618,2444.577914,2339.026412,5015.673434,0.112212254,8.264626503
転生林檎_trim.mp3,0.370334595,0.257563591,3154.510346,2828.856453,6625.87445,0.13891643,3.799041986
深海20love_trim.mp3,0.477081537,0.160494253,2096.888549,2220.846649,4346.407051,0.098850876,1.428235054
時の侭に_trim.mp3,0.263720572,0.104940765,1046.484163,1283.296084,1911.413442,0.061270605,0.72954911
パンドラボックス_trim.mp3,0.387393296,0.292279482,2297.938019,2245.507547,4687.371323,0.105750498,4.848239899
ドラマ_trim.mp3,0.259044111,0.309968412,2381.791099,2373.673855,4690.479971,0.115709807,5.287106991
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_0,0.22929073870182037,0.19106973707675934,2476.4017579349047,2450.8422754628627,5240.739364684526,0.10237333341593972,2.3434131145477295
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_1,0.2763809263706207,0.19091324508190155,3017.290046050844,2935.5127447621576,6646.579185201477,0.12369933646411578,2.1257307529449463
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_2,0.2578418254852295,0.2044900357723236,3232.7353158130513,2915.9612456892273,6688.877158350268,0.1338606977349326,2.717379570007324
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_3,0.2880078852176666,0.10837934166193008,3768.6570393326747,3019.379261705117,7371.612892483644,0.1759705993507137,0.7602081894874573
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_4,0.2555602788925171,0.2450256049633026,3196.818987875384,2980.649245884737,6882.582066874009,0.1257155779143537,3.361304521560669
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_5,0.2675597667694092,0.14628487825393677,3468.486204804275,3006.803990564811,7280.066895692902,0.1496955696124108,1.1911475658416748
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_6,0.2708013951778412,0.23116259276866913,3255.965364930679,2908.178426635331,6746.287649156176,0.1425730911726804,2.982619047164917
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_7,0.31421005725860596,0.16000352799892426,3387.171267057925,2891.127044523425,6851.469064420598,0.18395192617466297,1.755802869796753
